user_id,level,score,hint_count,challenges_completed,success_rate,avg_completion_time,consecutive_successes,consecutive_failures,days_since_registration,difficulty_label,sql_injection_score,xss_score,command_injection_score,authentication_score,csrf_score
synthetic_expert_2515,13,8575,0,160,0.956815950174796,49.95014523182032,14,1,73,expert,1968,2320,1338,1478,1447
synthetic_intermediate_534,5,1339,3,21,0.6894445087755823,148.82666886004978,2,3,249,intermediate,363,221,279,249,217
synthetic_expert_2447,13,4466,3,130,0.9943736420099767,80.08622370349427,14,0,265,expert,1336,1633,1163,1369,695
synthetic_intermediate_1483,4,1964,10,26,0.8025866496020778,157.48718924806207,4,1,360,intermediate,466,444,446,424,393
synthetic_intermediate_214,5,856,4,28,0.7411596384189028,236.46063493812534,4,0,69,intermediate,263,143,153,174,119
synthetic_intermediate_3332,4,983,7,20,0.6375038073541074,189.23686248463176,3,3,87,intermediate,223,126,193,135,86
synthetic_expert_2503,11,7567,1,65,0.9335939831501174,38.49385558683637,8,0,297,expert,2749,2306,1927,2211,1091
synthetic_expert_721,11,8874,0,71,1.0,73.14080033342354,11,1,25,expert,2044,2444,2128,1855,1068
synthetic_advanced_834,7,2857,4,67,0.8167906650313632,62.57097556119263,9,0,53,advanced,892,645,610,416,332
synthetic_beginner_2537,2,371,15,2,0.40383350737547846,514.7725052077253,2,3,207,beginner,108,103,99,66,77
synthetic_intermediate_1732,5,1645,3,13,0.5462273157649297,177.30643591235415,6,3,116,intermediate,443,351,322,362,179
synthetic_expert_1307,11,5919,0,128,1.0,26.92385360484127,11,1,82,expert,2022,1600,1477,1413,1069
synthetic_advanced_170,10,3655,4,31,0.8112543249820643,50.81120662179803,4,1,95,advanced,890,942,634,816,655
synthetic_beginner_2114,1,134,20,2,0.41480604690366796,383.4459266579069,2,5,42,beginner,36,27,28,25,19
synthetic_expert_3472,17,10161,1,90,1.0,80.7261103199549,7,0,205,expert,2603,1759,2348,1853,1677
